category,name,provider,geography,access,license_or_terms,update_cadence,project_idea,source_url
vehicle-safety,NHTSA Vehicle Complaints,NHTSA,United States,API + bulk download,U.S. federal public data,Daily,Reliability risk signals by make/model/year,https://www.nhtsa.gov/nhtsa-datasets-and-apis
vehicle-safety,NHTSA Recalls,NHTSA,United States,API + bulk download,U.S. federal public data,Daily,Recall frequency and component benchmarking,https://www.nhtsa.gov/nhtsa-datasets-and-apis
vehicle-safety,NHTSA Investigations,NHTSA,United States,Bulk download,U.S. federal public data,Frequent,Defect investigation trend analysis,https://www.nhtsa.gov/nhtsa-datasets-and-apis
vehicle-safety,NHTSA Manufacturer Communications,NHTSA,United States,Bulk download,U.S. federal public data,Frequent,Technical service bulletin topic analysis,https://www.nhtsa.gov/nhtsa-datasets-and-apis
road-safety,NHTSA FARS Crash Data,NHTSA,United States,Download,U.S. federal public data,Annual,Crash severity and vehicle-risk analysis,https://www.nhtsa.gov/research-data/fatality-analysis-reporting-system-fars
road-safety,Crash Report Sampling System,NHTSA,United States,Download,U.S. federal public data,Annual,National crash-frequency estimation,https://www.nhtsa.gov/crash-data-systems/crash-report-sampling-system
road-safety,Motor Vehicle Collisions - Crashes,NYC Open Data,United States / New York City,API + CSV,NYC Open Data terms,Ongoing,Collision hotspot and contributing-factor analysis,https://data.cityofnewyork.us/Public-Safety/Motor-Vehicle-Collisions-Crashes/h9gi-nx95
efficiency,EPA Fuel Economy Guide Historical Data (1978–2001),U.S. EPA,United States,CSV/ZIP download,U.S. federal public data,Static,Historical vehicle efficiency and technology benchmarking,https://www.epa.gov/compliance-and-fuel-economy-data/test-data-annual-fuel-economy-guide
efficiency,EPA Automotive Trends Data,U.S. EPA,United States,CSV download,U.S. federal public data,Annual,Fleet CO2 and powertrain trend analysis,https://www.epa.gov/automotive-trends/explore-automotive-trends-data
efficiency,FuelEconomy.gov Web Services,U.S. EPA + DOE,United States,REST API + CSV/XML,U.S. federal public data,Ongoing; fuel prices weekly/quarterly,Model-level MPG comparison and TCO estimation,https://www.fueleconomy.gov/feg/ws/
efficiency,Vehicle Inventory and Use Survey,U.S. Census Bureau,United States,CSV download,U.S. federal public data,Periodic,Commercial vehicle usage and mileage segmentation,https://www.census.gov/data/datasets/2021/econ/vius/2021-vius-puf.html
infrastructure,Alternative Fueling Station Data,DOE AFDC,United States + Canada,CSV/JSON download,AFDC data terms,Ongoing,EV charging coverage and infrastructure-gap analysis,https://afdc.energy.gov/data_download
infrastructure,Alternative Fuel Corridors,FHWA,United States,GIS download,U.S. federal public data,Periodic,Highway charging-corridor coverage analysis,https://www.fhwa.dot.gov/environment/alternative_fuel_corridors/
infrastructure,European Alternative Fuels Observatory,European Commission,Europe,Dashboard + downloads,European Commission reuse terms,Ongoing,EV adoption and charging-readiness comparison,https://alternative-fuels-observatory.ec.europa.eu/
ev-market,Electric Vehicle Population Data,Washington State DOL,United States / Washington State,API + CSV,ODbL 1.0,Monthly,EV make/model and regional adoption analysis,https://catalog.data.gov/dataset/electric-vehicle-population-data
ev-market,Global EV Data Explorer,International Energy Agency,Global,Explorer + account-gated XLSX download,Explorer CC BY 4.0; download uses IEA non-CC terms,Annual,Country-level EV sales and stock comparison,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer
vehicle-specs,NHTSA vPIC,NHTSA,United States,REST API,U.S. federal public data,Frequent,VIN decoding and vehicle specification enrichment,https://vpic.nhtsa.dot.gov/api/
vehicle-market,FHWA Vehicle Registrations,FHWA,United States,CSV/JSON download,U.S. federal public data,Annual,State vehicle-market size and trend analysis,https://catalog.data.gov/dataset/licensed-drivers-vehicle-registrations-and-resident-population-dv-1c
vehicle-market,EU New Passenger Car CO2 Emissions,European Environment Agency,European Union,CSV download,EEA reuse policy,Annual,Manufacturer fleet emissions benchmarking,https://www.eea.europa.eu/en/datahub/datahubitem-view/fa8b1229-3db6-495d-b18e-9c9b3267c02b
road-safety,STATS19 Road Safety Open Data,UK Department for Transport,Great Britain,CSV download,Open Government Licence,Annual + provisional,Collision hotspot and vehicle involvement analysis,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data
road-safety,UK Road Traffic Statistics,UK Department for Transport,Great Britain,CSV download,Open Government Licence,Annual,Traffic flow and road-segment exposure analysis,https://roadtraffic.dft.gov.uk/downloads
road-safety,EU CARE Road Safety Database,European Commission,European Union,Dashboard + downloads,European Commission reuse terms,Annual,Cross-country road fatality benchmarking,https://road-safety.transport.ec.europa.eu/european-road-safety-observatory/data-and-analysis_en
maintenance,Anonymised MOT Tests and Results,UK Department for Transport,Great Britain,ZIP/CSV download,Open Government Licence,Static (through 2023),Historical failure-rate and maintenance-risk analysis,https://www.data.gov.uk/dataset/e3939ef8-30c7-4ca8-9c7c-ad9475cc9b2f/anonymised_mot_test
maintenance,MOT History Bulk Data,UK DVSA,United Kingdom,Authenticated API + compressed bulk/delta (registration and API key required),Open Government Licence,Weekly + daily delta,Vehicle test-history and reliability analysis,https://documentation.history.mot.api.gov.uk/mot-history-api/download-vehicle-mot-history-data/
mobility,NYC TLC Trip Record Data,NYC Taxi and Limousine Commission,United States / New York City,Parquet downloads,NYC Open Data / source terms,Monthly,Demand forecasting and spatial mobility analysis,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page
mobility,NYC TLC Aggregated Reports,NYC Taxi and Limousine Commission,United States / New York City,CSV reports,NYC Open Data / source terms,Monthly,Trips vehicles fares and market trend analysis,https://www.nyc.gov/site/tlc/about/aggregated-reports.page
mobility,Chicago Transportation Network Provider Trips (2025-),Chicago Data Portal,United States / Chicago,API + CSV,Chicago open data terms,Ongoing,Ride-hailing demand and travel-time analysis,https://data.cityofchicago.org/d/6dvr-xwnh
mobility,SFO Ground Transportation Trip Counts,San Francisco International Airport,United States / San Francisco,API + CSV,Public Domain Dedication and License,Ongoing,Airport ground-mode demand and revenue analysis,https://catalog.data.gov/dataset/sfo-ground-trip-counts-by-month-and-permit-type
mobility,National Transit Database,Federal Transit Administration,United States,CSV/Excel download,U.S. federal public data,Monthly + annual,Transit service and fleet-performance benchmarking,https://www.transit.dot.gov/ntd/ntd-data
rental,LAX Rental Car Monthly Statistics,Los Angeles World Airports,United States / Los Angeles,PDF reports,LAWA website terms,Monthly/annual,Airport rental demand and market-share analysis,https://www.lawa.org/lawa-investor-relations/statistics-for-lax/lax-rental-car-statistics
rental,Car and Truck Rental Consumer Price Index,U.S. Bureau of Labor Statistics,United States,API + CSV,U.S. federal public data,Monthly,Rental-price inflation and seasonality analysis,https://data.bls.gov/timeseries/CUSR0000SETA04
used-cars,100000 UK Used Car Data Set,Kaggle / Aditya Desai,United Kingdom,CSV,CC0 1.0,Static,Used-car pricing depreciation and resale modeling,https://www.kaggle.com/datasets/adityadesai13/used-car-dataset-ford-and-mercedes
used-cars,Craigslist Cars and Trucks,Kaggle / Austin Reese,United States,CSV,CC0 1.0,Static,Large-scale used-car pricing and listing analysis,https://www.kaggle.com/datasets/austinreese/craigslist-carstrucks-data
parking,NYC Parking Violations (Current Fiscal Year),NYC Open Data,United States / New York City,API + CSV,NYC Open Data terms,Monthly,Violation geography and vehicle-pattern analysis,https://data.cityofnewyork.us/d/pvqr-7yc4
environment,Air Quality System Data,U.S. EPA,United States,API + bulk download,U.S. federal public data,API ongoing + bulk semiannual,Traffic exposure and air-quality association analysis,https://aqs.epa.gov/aqsweb/airdata/download_files.html
freight,Freight Analysis Framework,FHWA + BTS,United States,CSV + GIS download,U.S. federal public data,Periodic,Freight corridor and commodity-flow analysis,https://www.bts.gov/faf/faf5
freight,Commodity Flow Survey,U.S. Census Bureau,United States,CSV download,U.S. federal public data,Every five years,Shipment distance mode and value analysis,https://www.census.gov/programs-surveys/cfs/data.html
efficiency,plotnine mpg Dataset,plotnine / EPA-derived,United States,Python package,MIT package + EPA-derived data,Static,Compact fuel-economy benchmarking,https://plotnine.org/reference/mpg.html
